id,date,sd,quantile,sign,trade,perd,chg,name,closing_price
537,2008/11/28,-0.178472,-0.136072,1,1,1,1,marketing_bear_lin2,0
538,2008/12/31,-0.0817146,-0.138915,0,0,1,0,marketing_bear_lin2,0
539,2009/1/30,-0.119109,-0.144081,0,0,1,0,marketing_bear_lin2,0
540,2009/2/27,-0.0634564,-0.145645,0,0,1,0,marketing_bear_lin2,0
541,2009/3/31,0.0302789,-0.143991,0,0,0,-1,marketing_bear_lin2,0
542,2009/4/30,0.137011,-0.147226,0,0,0,0,marketing_bear_lin2,0
543,2009/5/29,0.203228,-0.153207,0,0,0,0,marketing_bear_lin2,0
544,2009/6/30,0.185989,-0.15666,0,0,0,0,marketing_bear_lin2,0
545,2009/7/31,0.248142,-0.16217,0,0,0,0,marketing_bear_lin2,0
546,2009/8/31,0.243388,-0.164292,0,0,0,0,marketing_bear_lin2,0
547,2009/9/30,0.213284,-0.165569,0,0,0,0,marketing_bear_lin2,0
548,2009/10/30,0.0845128,-0.1653,0,0,0,0,marketing_bear_lin2,0
549,2009/11/30,0.00422278,-0.166021,0,0,0,0,marketing_bear_lin2,0
550,2009/12/31,-0.0185023,-0.165208,0,0,0,0,marketing_bear_lin2,0
551,2010/1/29,0.055046,-0.153945,0,0,0,0,marketing_bear_lin2,0
552,2010/2/26,0.0497817,-0.146929,0,0,0,0,marketing_bear_lin2,0
553,2010/3/31,0.0640065,-0.132534,0,0,0,0,marketing_bear_lin2,0
554,2010/4/30,0.0357222,-0.124824,0,0,0,0,marketing_bear_lin2,0
555,2010/5/31,0.0696916,-0.113994,0,0,0,0,marketing_bear_lin2,0
556,2010/6/30,0.0372411,-0.105736,0,0,0,0,marketing_bear_lin2,0
557,2010/7/30,0.0512708,-0.097886,0,0,0,0,marketing_bear_lin2,0
558,2010/8/31,0.0271199,-0.0899318,0,0,0,0,marketing_bear_lin2,0
559,2010/9/30,0.0181608,-0.0759594,0,0,0,0,marketing_bear_lin2,0
560,2010/10/29,-0.0257935,-0.0614561,0,0,0,0,marketing_bear_lin2,0
561,2010/11/30,-0.10098,-0.0519066,1,0,0,0,marketing_bear_lin2,0
562,2010/12/31,-0.0762586,-0.0513599,1,1,0,0,marketing_bear_lin2,0
563,2011/1/31,-0.0548988,-0.0445783,1,1,1,1,marketing_bear_lin2,0
564,2011/2/28,0.0299217,-0.0373611,0,0,1,0,marketing_bear_lin2,0
565,2011/3/31,0.0270842,-0.0375451,0,0,1,0,marketing_bear_lin2,0
566,2011/4/29,0.000562315,-0.0426716,0,0,1,0,marketing_bear_lin2,0
567,2011/5/31,-0.0940223,-0.0545508,1,0,0,-1,marketing_bear_lin2,0
568,2011/6/30,-0.0363423,-0.0601209,0,0,0,0,marketing_bear_lin2,0
569,2011/7/29,-0.0862154,-0.0650725,1,1,0,0,marketing_bear_lin2,0
570,2011/8/31,0.070668,-0.0581805,0,0,1,1,marketing_bear_lin2,0
571,2011/9/30,-0.0257729,-0.0537333,0,0,1,0,marketing_bear_lin2,0
572,2011/10/31,0.00923754,-0.0541451,0,0,1,0,marketing_bear_lin2,0
573,2011/11/30,-0.0698734,-0.0592298,1,0,0,-1,marketing_bear_lin2,0
574,2011/12/30,-0.0333268,-0.0601338,0,0,0,0,marketing_bear_lin2,0
575,2012/1/31,-0.0236144,-0.0621389,0,0,0,0,marketing_bear_lin2,0
576,2012/2/29,-0.019503,-0.063734,0,0,0,0,marketing_bear_lin2,0
577,2012/3/30,-0.0104782,-0.0644592,0,0,0,0,marketing_bear_lin2,0
578,2012/4/30,0.0174685,-0.0645915,0,0,0,0,marketing_bear_lin2,0
579,2012/5/31,0.0134684,-0.0640765,0,0,0,0,marketing_bear_lin2,0
580,2012/6/29,-0.0214711,-0.0651751,0,0,0,0,marketing_bear_lin2,0
581,2012/7/31,-0.0717262,-0.0691396,1,0,0,0,marketing_bear_lin2,0
582,2012/8/31,-0.0365969,-0.0705733,0,0,0,0,marketing_bear_lin2,0
583,2012/9/28,0.0147818,-0.0705699,0,0,0,0,marketing_bear_lin2,0
584,2012/10/31,0.0415569,-0.069904,0,0,0,0,marketing_bear_lin2,0
585,2012/11/30,0.0105957,-0.0624121,0,0,0,0,marketing_bear_lin2,0
586,2012/12/31,-0.000616465,-0.0574611,0,0,0,0,marketing_bear_lin2,0
587,2013/1/31,0.0267313,-0.0539497,0,0,0,0,marketing_bear_lin2,0
588,2013/2/28,0.040217,-0.0540344,0,0,0,0,marketing_bear_lin2,0
589,2013/3/29,-0.00661146,-0.0546444,0,0,0,0,marketing_bear_lin2,0
590,2013/4/30,-0.0469162,-0.0571444,0,0,0,0,marketing_bear_lin2,0
591,2013/5/31,-0.0518568,-0.0525628,0,0,0,0,marketing_bear_lin2,0
592,2013/6/28,0.0208659,-0.0504051,0,0,0,0,marketing_bear_lin2,0
593,2013/7/31,0.053036,-0.0430399,0,0,0,0,marketing_bear_lin2,0
594,2013/8/30,0.0664993,-0.0428472,0,0,0,0,marketing_bear_lin2,0
595,2013/9/30,0.0146473,-0.0410612,0,0,0,0,marketing_bear_lin2,0
596,2013/10/31,0.0116569,-0.0409987,0,0,0,0,marketing_bear_lin2,0
597,2013/11/29,-0.0277577,-0.0367514,0,0,0,0,marketing_bear_lin2,0
598,2013/12/31,-0.0394419,-0.0372868,1,0,0,0,marketing_bear_lin2,0
599,2014/1/31,-0.0617108,-0.0408258,1,1,0,0,marketing_bear_lin2,0
600,2014/2/28,-0.0119692,-0.0403895,0,0,1,1,marketing_bear_lin2,0
601,2014/3/31,0.0214508,-0.0393378,0,0,1,0,marketing_bear_lin2,0
602,2014/4/30,0.0166632,-0.0393536,0,0,1,0,marketing_bear_lin2,0
603,2014/5/30,0.0148481,-0.0393216,0,0,0,-1,marketing_bear_lin2,0
